Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Bradley Barcola,fr FRA,FW,22,11,10,746.0,10.0,2.0,12.0,0.0,0.0,0.0,6.9,3.8,Paris-SG
Willian Pacho,ec ECU,DF,23,10,9,838.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.1,Paris-SG
João Neves,pt POR,MF,20,11,9,783.0,1.0,6.0,7.0,0.0,0.0,0.0,1.0,2.5,Paris-SG
Achraf Hakimi,ma MAR,DF,26,9,9,758.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.9,Paris-SG
Warren Zaïre-Emery,fr FRA,"MF,DF",18,10,9,748.0,1.0,1.0,2.0,0.0,2.0,0.0,0.6,0.7,Paris-SG
Gianluigi Donnarumma,it ITA,GK,25,8,8,720.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Paris-SG
Marquinhos,br BRA,DF,30,9,8,718.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.2,Paris-SG
Lucas Beraldo,br BRA,DF,20,8,7,663.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,Paris-SG
Vitinha,pt POR,MF,24,8,7,629.0,1.0,0.0,1.0,1.0,0.0,0.0,1.1,0.8,Paris-SG
Ousmane Dembélé,fr FRA,FW,27,10,7,605.0,5.0,4.0,9.0,0.0,1.0,0.0,4.3,4.1,Paris-SG
Marco Asensio,es ESP,"FW,MF",28,9,7,508.0,2.0,4.0,6.0,0.0,0.0,0.0,5.4,2.6,Paris-SG
Lee Kang In,kr KOR,"FW,MF",23,11,6,652.0,6.0,1.0,7.0,0.0,0.0,0.0,2.2,2.0,Paris-SG
Fabián Ruiz Peña,es ESP,MF,28,10,5,513.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2,1.1,Paris-SG
Nuno Mendes,pt POR,DF,22,6,5,389.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4,0.7,Paris-SG
Milan Škriniar,sk SVK,DF,29,4,3,292.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Paris-SG
Matvei Safonov,ru RUS,GK,25,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris-SG
Désiré Doué,fr FRA,FW,19,8,2,326.0,0.0,1.0,1.0,0.0,0.0,0.0,1.1,1.9,Paris-SG
Randal Kolo Muani,fr FRA,FW,25,8,2,319.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,0.3,Paris-SG
Senny Mayulu,fr FRA,"MF,DF",18,7,2,192.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,0.7,Paris-SG
Yoram Zague,fr FRA,DF,18,2,1,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Paris-SG
Ibrahim Mbaye,fr FRA,"FW,MF",16,5,1,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Paris-SG
Gonçalo Ramos,pt POR,FW,23,1,1,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,Paris-SG
Naoufel El Hannach,ma MAR,DF,17,0,0,,,,,,,,,,Paris-SG
Carlos Soler,es ESP,MF,27,0,0,,,,,,,,,,Paris-SG
Arnau Tenas,es ESP,GK,23,0,0,,,,,,,,,,Paris-SG
Squad Total,,,,11,121,990.0,31.0,25.0,56.0,2.0,15.0,0.0,30.8,25.5,Paris-SG
Emmanuel Agbadou,ci CIV,DF,27,11,11,990.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.3,Reims
Yehvann Diouf,fr FRA,GK,25,11,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Junya Ito,jp JPN,FW,31,11,11,957.0,3.0,3.0,6.0,0.0,0.0,0.0,1.7,3.6,Reims
Valentin Atangana Edoa,fr FRA,MF,19,11,11,946.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.3,Reims
Marshall Munetsi,zw ZIM,MF,28,10,10,893.0,3.0,0.0,3.0,0.0,3.0,0.0,2.9,0.4,Reims
Keito Nakamura,jp JPN,FW,24,11,10,838.0,6.0,1.0,7.0,0.0,2.0,0.0,2.7,0.8,Reims
Oumar Diakité,ci CIV,FW,20,10,10,736.0,3.0,1.0,4.0,0.0,4.0,0.0,3.4,0.6,Reims
Sergio Akieme,es ESP,DF,26,8,8,709.0,1.0,1.0,2.0,0.0,1.0,0.0,0.2,0.5,Reims
Aurélio Buta,pt POR,DF,27,8,8,611.0,0.0,1.0,1.0,0.0,3.0,0.0,0.1,0.3,Reims
Yaya Kader Fofana,ml MLI,"MF,FW",20,10,8,587.0,1.0,1.0,2.0,0.0,4.0,0.0,0.5,1.6,Reims
Joseph Okumu,ke KEN,DF,27,7,6,566.0,1.0,0.0,1.0,0.0,2.0,0.0,0.4,0.0,Reims
Cédric Kipré,ci CIV,DF,27,8,6,522.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.3,Reims
Nhoa Sangui,fr FRA,DF,18,10,4,496.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.3,Reims
Amadou Koné,ml MLI,MF,19,6,3,191.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reims
Teddy Teuma,mt MLT,MF,31,7,2,203.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.4,Reims
Amine Salama,fr FRA,FW,24,9,1,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,Reims
Abdoul Koné,fr FRA,DF,19,2,1,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Mamadou Diakhon,fr FRA,"FW,MF",19,8,0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,Reims
Reda Khadra,de GER,"MF,FW",23,4,0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Martin Adeline,fr FRA,MF,20,1,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Niama Sissoko,ml MLI,FW,18,2,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Reims
Mohammed Daramy,dk DEN,FW,22,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Reims
Thibault De Smet,be BEL,DF,26,2,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Mohamed Bamba,ci CIV,MF,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims
Adama Bojang,gm GAM,FW,20,0,0,,,,,,,,,,Reims
Maxime Busi,be BEL,DF,25,0,0,,,,,,,,,,Reims
Ludovic Butelle,fr FRA,GK,41,0,0,,,,,,,,,,Reims
Kobi Henry,us USA,DF,20,0,0,,,,,,,,,,Reims
Gabriel Moscardo,br BRA,MF,19,0,0,,,,,,,,,,Reims
Alexandre Olliero,fr FRA,GK,28,0,0,,,,,,,,,,Reims
Squad Total,,,,11,121,990.0,19.0,10.0,29.0,1.0,27.0,1.0,14.5,9.6,Reims
Ludovic Blas,fr FRA,"MF,FW",26,11,11,954.0,3.0,2.0,5.0,0.0,2.0,0.0,2.6,1.8,Rennes
Steve Mandanda,fr FRA,GK,39,11,11,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Rennes
Christopher Wooh,cm CMR,DF,23,10,10,855.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,Rennes
Adrien Truffert,fr FRA,"DF,MF",23,11,10,836.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,Rennes
Alidu Seidu,gh GHA,DF,24,10,9,786.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,Rennes
Azor Matusiwa,nl NED,MF,26,10,9,763.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.6,Rennes
Arnaud Kalimuendo,fr FRA,FW,22,10,9,731.0,3.0,0.0,3.0,2.0,0.0,0.0,2.7,0.4,Rennes
Glen Kamara,fi FIN,MF,29,10,7,582.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.1,Rennes
Albert Grønbaek,dk DEN,"MF,FW",23,11,7,579.0,1.0,1.0,2.0,0.0,1.0,0.0,0.7,0.8,Rennes
Amine Gouiri,dz ALG,"FW,MF",24,11,6,663.0,1.0,1.0,2.0,0.0,1.0,0.0,2.6,0.2,Rennes
Hans Hateboer,nl NED,"DF,MF",30,11,6,569.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,1.4,Rennes
Lorenz Assignon,tg TOG,"DF,MF",24,10,6,535.0,0.0,1.0,1.0,0.0,4.0,0.0,0.2,0.2,Rennes
Leo Skiri Ostigard,no NOR,DF,24,8,6,533.0,1.0,0.0,1.0,0.0,2.0,0.0,0.6,0.0,Rennes
Baptiste Santamaria,fr FRA,MF,29,9,5,480.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.3,Rennes
Mikayil Ngor Faye,sn SEN,DF,20,5,3,303.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Rennes
Jota,pt POR,"FW,MF",25,6,3,284.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.2,Rennes
Carlos Gómez,co COL,"MF,FW",22,5,2,222.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,Rennes
Benjamin Bourigeaud,fr FRA,MF,30,1,1,80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,Rennes
Henrik Meister,dk DEN,FW,21,4,0,63.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.3,Rennes
Gauthier Gallon,fr FRA,GK,31,1,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rennes
Mahamadou Nagida,cm CMR,"DF,MF",19,4,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Rennes
Jordan James,wls WAL,MF,20,3,0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Rennes
Mohamed Meité,fr FRA,FW,17,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rennes
Naouirou Ahamada,fr FRA,MF,22,0,0,,,,,,,,,,Rennes
Djaoui Cissé,fr FRA,MF,20,0,0,,,,,,,,,,Rennes
Alan Do Marcolino,ga GAB,FW,22,0,0,,,,,,,,,,Rennes
Warmed Omari,km COM,DF,24,0,0,,,,,,,,,,Rennes
Squad Total,,,,11,121,990.0,13.0,7.0,20.0,2.0,24.0,0.0,12.9,7.2,Rennes
Gautier Larsonneur,fr FRA,GK,27,11,11,990.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Saint-Etienne
Zuriko Davitashvili,ge GEO,"MF,FW",23,11,11,959.0,5.0,2.0,7.0,1.0,0.0,0.0,3.1,1.7,Saint-Etienne
Dylan Batubinsika,cd COD,DF,28,11,9,864.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Saint-Etienne
Pierre Ekwah Elimby,fr FRA,MF,22,8,8,720.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,Saint-Etienne
Mathis Amougou,fr FRA,MF,18,10,8,634.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.1,Saint-Etienne
Yunis Abdelhamid,ma MAR,DF,37,7,7,576.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Saint-Etienne
Dennis Appiah,fr FRA,DF,32,10,6,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,Saint-Etienne
Ibrahim Sissoko,ml MLI,FW,28,11,6,611.0,3.0,1.0,4.0,1.0,0.0,0.0,3.6,0.5,Saint-Etienne
Léo Pétrot,fr FRA,DF,27,8,6,599.0,0.0,1.0,1.0,0.0,2.0,0.0,0.1,0.3,Saint-Etienne
Mickael Nade,fr FRA,DF,25,7,6,596.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.0,Saint-Etienne
Mathieu Cafaro,fr FRA,"MF,FW",27,10,6,546.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.2,Saint-Etienne
Aimen Moueffek,fr FRA,MF,23,9,5,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,Saint-Etienne
Lucas Stassin,be BEL,FW,19,8,5,361.0,0.0,3.0,3.0,0.0,1.0,0.0,0.8,1.3,Saint-Etienne
Ben Old,nz NZL,"MF,FW",22,6,4,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,Saint-Etienne
Yvann Macon,fr FRA,DF,26,4,4,286.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Saint-Etienne
Benjamin Bouchouari,ma MAR,MF,23,7,3,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,Saint-Etienne
Louis Mouton,fr FRA,MF,22,7,3,287.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.3,Saint-Etienne
Augustine Boakye,gh GHA,"MF,FW",24,7,3,272.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.2,Saint-Etienne
Pierre Cornud,fr FRA,DF,27,3,3,208.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,Saint-Etienne
Florian Tardieu,fr FRA,MF,32,5,2,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint-Etienne
Marwann Nzuzi,fr FRA,DF,20,2,2,125.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Saint-Etienne
Beres Owusu,fr FRA,DF,21,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint-Etienne
Ayman Aiki,fr FRA,"FW,MF",19,3,1,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Saint-Etienne
Lamine Fomba,fr FRA,MF,26,2,1,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Saint-Etienne
Ibrahima Wadji,sn SEN,"FW,MF",29,3,0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Saint-Etienne
Kévin Pedro,fr FRA,DF,18,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint-Etienne
Jibril Othman,tn TUN,FW,20,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint-Etienne
Antoine Gauthier,fr FRA,MF,20,0,0,,,,,,,,,,Saint-Etienne
Brice Maubleu,fr FRA,GK,34,0,0,,,,,,,,,,Saint-Etienne
Igor Miladinović,rs SRB,MF,21,0,0,,,,,,,,,,Saint-Etienne
Issiaka Touré,fr FRA,GK,20,0,0,,,,,,,,,,Saint-Etienne
Squad Total,,,,11,121,990.0,10.0,7.0,17.0,2.0,24.0,0.0,12.7,8.1,Saint-Etienne
Dilane Bakwa,fr FRA,"DF,FW",22,11,11,953.0,1.0,3.0,4.0,0.0,0.0,0.0,2.1,3.4,Strasbourg
Habib Diarra,sn SEN,"MF,FW",20,11,11,927.0,2.0,1.0,3.0,1.0,3.0,0.0,1.6,1.0,Strasbourg
Saidou Sow,gn GUI,DF,22,11,10,928.0,0.0,1.0,1.0,0.0,2.0,0.0,0.3,0.2,Strasbourg
Guela Doué,ci CIV,DF,22,10,10,900.0,1.0,0.0,1.0,0.0,4.0,0.0,0.5,0.0,Strasbourg
Andrey Santos,br BRA,MF,20,10,10,875.0,5.0,0.0,5.0,0.0,2.0,0.0,3.0,0.7,Strasbourg
Ismaël Doukouré,fr FRA,MF,21,10,10,854.0,0.0,1.0,1.0,0.0,3.0,0.0,0.1,0.7,Strasbourg
Diego Moreira,pt POR,"DF,MF",20,11,9,824.0,1.0,3.0,4.0,0.0,2.0,0.0,0.7,1.8,Strasbourg
Sebastian Nanasi,se SWE,"FW,MF",22,10,9,736.0,3.0,2.0,5.0,0.0,0.0,0.0,2.9,1.6,Strasbourg
Dorde Petrovic,rs SRB,GK,25,8,8,720.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg
Emanuel Emegha,nl NED,FW,21,8,8,637.0,3.0,1.0,4.0,0.0,1.0,0.0,4.0,1.2,Strasbourg
Abakar Sylla,ci CIV,DF,21,10,7,587.0,1.0,0.0,1.0,0.0,2.0,0.0,0.4,0.0,Strasbourg
Mamadou Sarr,fr FRA,DF,19,5,5,407.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg
Sekou Mara,fr FRA,"FW,MF",22,10,3,420.0,1.0,1.0,2.0,0.0,1.0,0.0,0.8,1.0,Strasbourg
Karl-Johan Johnsson,se SWE,GK,34,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Junior Mwanga,fr FRA,MF,21,7,2,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Caleb Wiley,us USA,"DF,MF",19,5,2,221.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7,Strasbourg
Marvin Senaya,tg TOG,DF,23,6,1,149.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Strasbourg
Félix Lemaréchal,fr FRA,"MF,FW",21,6,1,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Strasbourg
Pape Daouda Diongue,sn SEN,"MF,FW",,4,1,51.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Strasbourg
Guimissongui Ouattara,fr FRA,"FW,MF",19,2,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Strasbourg
Jérémy Sebas,mq MTQ,"FW,MF",21,5,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Milos Lukovic,rs SRB,"FW,MF",19,2,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Nordine Kandil,fr FRA,MF,23,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Karol Fila,pl POL,MF,26,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg
Eduard Sobol,ua UKR,MF,29,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg
Tidiane Diallo,fr FRA,FW,18,0,0,,,,,,,,,,Strasbourg
Yoni Gomis,fr FRA,DF,19,0,0,,,,,,,,,,Strasbourg
Rayane Messi Tanfouri,fr FRA,FW,17,0,0,,,,,,,,,,Strasbourg
Rabby Nzingoula,cg CGO,MF,18,0,0,,,,,,,,,,Strasbourg
Óscar Perea,co COL,FW,19,0,0,,,,,,,,,,Strasbourg
Robin Risser,fr FRA,GK,19,0,0,,,,,,,,,,Strasbourg
Ryan Tutu Mayangila,fr FRA,GK,19,0,0,,,,,,,,,,Strasbourg
Squad Total,,,,11,121,990.0,19.0,14.0,33.0,1.0,27.0,0.0,17.2,12.6,Strasbourg
Guillaume Restes,fr FRA,GK,19,11,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Yann Gboho,fr FRA,"FW,MF",23,11,11,939.0,2.0,2.0,4.0,0.0,0.0,0.0,1.7,2.0,Toulouse
Vincent Sierro,ch SUI,MF,29,11,10,909.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3,2.1,Toulouse
Zakaria Aboukhlal,ma MAR,"FW,MF",24,11,10,827.0,4.0,2.0,6.0,0.0,1.0,0.0,5.7,1.0,Toulouse
Mark McKenzie,us USA,DF,25,9,9,784.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Toulouse
Cristian Cásseres Jr.,ve VEN,MF,24,10,9,767.0,0.0,1.0,1.0,0.0,5.0,0.0,0.4,0.6,Toulouse
Aron Donnum,no NOR,"DF,MF",26,10,9,732.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.2,Toulouse
Djibril Sidibé,fr FRA,DF,32,11,8,732.0,0.0,2.0,2.0,0.0,1.0,0.0,0.2,2.0,Toulouse
Charlie Cresswell,eng ENG,DF,22,10,8,703.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5,Toulouse
Rasmus Nicolaisen,dk DEN,DF,27,7,7,623.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,0.2,Toulouse
Waren Kamanzi,no NOR,"DF,MF",24,10,6,609.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,Toulouse
Joshua King,no NOR,"FW,MF",32,9,6,499.0,3.0,1.0,4.0,0.0,1.0,0.0,2.4,1.0,Toulouse
Gabriel Suazo,cl CHI,"DF,MF",27,9,4,442.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,Toulouse
Frank Magri,cm CMR,FW,25,9,4,314.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.1,Toulouse
Shavy Babicka,ga GAB,"MF,FW",24,10,3,397.0,3.0,0.0,3.0,0.0,1.0,0.0,1.5,0.2,Toulouse
Niklas Schmidt,de GER,MF,26,5,2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Toulouse
Ümit Akdag,ro ROU,DF,21,2,2,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Miha Zajc,si SVN,MF,30,7,1,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Toulouse
Logan Costa,cv CPV,DF,23,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Toulouse
Denis Genreau,au AUS,"MF,FW",25,3,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,Toulouse
Jaydee Canvot,fr FRA,DF,18,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Naatan Skyttä,fi FIN,FW,22,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Rafik Messali,fr FRA,MF,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Mamady Bangré,bf BFA,MF,23,0,0,,,,,,,,,,Toulouse
Alex Dominguez,es ESP,GK,26,0,0,,,,,,,,,,Toulouse
Noah Edjouma,fr FRA,FW,19,0,0,,,,,,,,,,Toulouse
Dayann Methalie,fr FRA,DF,18,0,0,,,,,,,,,,Toulouse
Mathis Saka,fr FRA,FW,18,0,0,,,,,,,,,,Toulouse
Squad Total,,,,11,121,990.0,12.0,11.0,23.0,0.0,17.0,1.0,15.8,11.7,Toulouse
